"Zeitstempel","Participant ID","I think I was able to solve...","I found Task 1","I found Task 2","I found Task 3","Anything you want to tell us about the tasks?","The tool provides a good selection of visualizations","I was missing certain visualizations (please let us know in the area below which ones you would find useful)","The visualizations during inference time helped me detect issues earlier","I felt misguided by the visualizations during inference","The tool showed me visual debugging strategies, that I will use in the future (with or without the tool - please let us know which ones below)","Anything you want to tell us about the visualizations?","The warnings helped me detect issues","The warnings helped me solve issues","The warnings helped me understand the cause of issues","The explanations in the warnings made the issues clearer","The warnings helped me detect issues early in inference","I felt misguided by some warnings","I felt misguided by warnings","Disappearing warnings confused me","Anything you want to tell us about the warnings?","I found the presented tool helpful","I consider the live updates during inference useful","The tool was easy to use","I found the included model graph useful","Task 1 would have been easier with access to the presented tool","Task 2 would have been harder without access to the tool.","Task 3 would have been harder without access to the tool.","I would have been able to solve","I would use the presented tool in the future","Anything you want to tell us about the tool in general?","I learned new things using the tool","The tool showed me visualizations I have never seen before","The tool deepened my understanding of Bayesian inference","Anything else you want to tell us?"
"2025/02/24 11:43:19 AM OEZ","montreal","Task 1;Task 2","2","3","7","","6","4","6","2","4","I am always missing the formula how parameters are added or mutiplied in the graph view as well in the tools case also shape information. The tool helped me learn new debugging visualizations i wouldnt use otherwise as i also have to create them which takes time. I really like not having to wait for the model to be finished especially as pymc model have long runtimes. ","7","5","5","6","5","3","during inference;never","4","In task three it told me to reformulate but it was missing what this would change, i also would like for each visualization to have an explanation how to read it in detail maybe via an link to another page. ","6","7","7","2","6","6","6","Task 1 with the tool","6","","6","7","5",""
"2025/02/25 12:51:25 PM OEZ","inuvik","Task 2;Task 3","7","4","5","Task 1 was a ""complete different setup"" than task 2 & 3. The model in task1 was much more complicated and intervened ","7","1","5","1","5","The tool showed me visual debugging strategies, that I will use in the future
- Trace plots very much helped to understand the progress of the chain (especially, if there are jumps in it)
- autocorrelation plots helped a lot to trust/distrust the results","7","7","7","6","7","2","never","4","Disappearing warnings confused me: no not really, but on updating warnings, you loose the information of the previos ones. Keeping all of them would not make sense eighter imho..  
it is somewhat counter intuitive, that e.g. the same warning appears 8 times, if the variable is of dim=8 (task 3) ","7","7","6","7","5","6","7","Task 2 without the tool","7","nice work, inituitive usage and stable connection to the inference session, which is very important to make the tool truely useable","7","4","4",""
"2025/02/25 4:12:34 PM OEZ","quebec","Task 2","7","2","5","I'm not sure if my task 3 is solved, although there is no more warning.","5","6","5","1","6","I will use with the tool.","7","7","6","7","4","2","never","4","","7","5","6","7","7","7","7","Task 1 with the tool","6","It is useful to me.","6","4","5","It is a good tool for education too."
"2025/02/25 7:22:29 PM OEZ","miramichi","Task 1;Task 3","2","3","6","Maybe providing the background about the data (what is modeled) would help in understanding the model better (applicable to tasks 2 and 3).","7","7","7","2","6","Looking at the trace plots during sampling appears as a good strategy to make sure the model is set up well. I should try using this in general.","7","6","7","7","7","2","never","1","They were quite informative and their dynamicity really reflects the changing nature of the sampling process and how it should be interpreted. ","7","7","7","7","6","7","7","Task 1 with the tool","7","","7","5","4",""
"2025/02/28 5:47:56 PM OEZ","Moosonee","Task 3","7","5","2","","7","6","6","1","4","","7","7","7","5","7","1","never","2","","7","7","6","7","7","7","7","Task 1 with the tool","6","","5","5","5",""
"2025/03/04 11:25:23 AM OEZ","Dawson","Task 2;Task 3","5","2","2","/","7","2","7","1","7","/","7","7","6","6","7","3","during inference","1","","7","7","6","5","7","6","3","Task 1 with the tool;Task 3 without the tool","7","","3","4","3",""
"2025/03/04 2:19:11 PM OEZ","gatineau","Task 2;Task 3","6","3","3","","6","1","5","2","2","","7","7","7","7","5","2","never","2","","7","5","7","7","7","7","7","Task 1 with the tool","6","","6","7","6",""
"2025/03/04 5:36:19 PM OEZ","Lachine","Task 2;Task 3","7","2","3","","7","2","5","1","7","","7","7","6","7","7","1","never","2","","7","7","7","2","7","6","6","Task 3 without the tool","6","","5","4","3",""
"2025/03/04 9:21:08 PM OEZ","Scarborough","Task 2;Task 3","5","2","3","Love the new debugger!!","7","2","6","1","6","comparing posteriors of different chains","7","7","5","7","7","2","never","1","","7","6","7","4","6","7","7","None of the tasks","7","","7","6","4",""
"2025/03/05 4:30:58 PM OEZ","Kitimat","Task 1;Task 2;Task 3","2","4","4","No","5","4","6","1","2","something like az.summary","6","6","4","6","3","1","never","1","","6","7","7","7","1","6","6","Task 1 with the tool;Task 3 without the tool","6","","6","6","5",""
