name,Task,order,Inference Count,Cancelled Inference Count,Mean Inference Time,Median Inference Time,Setup Issue Count,Total Setup Issue Duration,Removed Event Count,Number of Changes to Model,Number of Changes to Inference,Time to First Change,Time to First Inference,Number of Plots,Number of External Docs,Percentage of Solved Issues,Fully Solved (seconds),Total Task Time,First Issue Detected,First Issue Solved,Second Issue Detected,Second Issue Solved,Third Issue Detected,Third Issue Solved,Total Number of Changes,Total Time spend in Inference,Total Percent of Time spend in Inference
inuvik,B,1,4,0,123.34,108.0,0,0.0,0,0,3,910.0,50.469,2,6,33.33,0.0,1878.28,802.0,1205.0,906.0,,,,3,493.36,0.26266584321826353
inuvik,A,2,3,1,70.27,67.51,1,37.57,0,0,3,130.0,39.718,0,0,100.0,134.0,485.41,115.0,134.0,,,,,3,210.81,0.43429265981335363
inuvik,C,3,11,6,101.97,125.0,0,0.0,0,0,6,327.0,12.017,0,2,100.0,1542.0,1799.97,129.0,618.0,942.0,1122.0,1080.0,1542.0,6,1121.67,0.6231603860064334
Montreal,A,1,4,1,60.7,57.8,1,33.39,0,0,5,968.176,139.203,10,10,100.0,985.366,1763.29,,985.0,,,,,5,242.8,0.13769714567654784
Montreal,B,2,3,1,139.93,147.53,0,0.0,0,0,2,451.842,292.432,0,0,66.67,,796.12,524.0,528.0,539.0,778.0,,,2,419.79,0.5272948801688188
Montreal,C,3,8,6,183.46,197.81,0,0.0,0,1,3,410.467,273.657,1,4,66.67,,1958.24,406.0,421.0,463.0,679.0,664.0,,4,1467.68,0.7494893373641638
Estevan,B,1,3,0,119.2,118.0,0,0.0,0,3,0,1475.069,65.099,1,6,0.0,,1690.44,,,,,,,3,357.6,0.21154255696741678
Estevan,C,2,3,0,355.73,244.15,0,0.0,0,1,4,160.174,8.021,1,3,66.67,,1591.61,209.0,275.0,380.0,403.0,,,5,1067.19,0.6705097354251356
Estevan,A,3,5,1,119.26,109.6,0,0.0,0,0,5,160.957,36.162,1,0,100.0,215.822,2078.19,212.0,216.0,,,,,5,596.3000000000001,0.286932378656427
miramichi,A,1,2,0,284.47,284.47,2,124.29,0,0,0,,136.576,5,5,0.0,0.0,1503.67,,,,,,,0,568.94,0.37836759395346053
